time_start,time_end,model,launch_place,target,destroyed_details,carrier,launched,destroyed,source
2024-05-28,2024-05-28 08:00,Supercam,,Kharkiv oblast,,,1.0,1,pvkshid/posts/pfbid02jrYoLT5AK5JDs1CRhLcb26rmgGBB9w54wNKX1uFBbdP95ztAdgYEYBFQ4Tokw3Dpl
2024-05-28,2024-05-28 08:00,Shahed-136/131,Primorsko-Akhtarsk,Ukraine,"{'Dnipropetrovsk oblast': 2, 'Zaporizhzhia oblast': 2, 'Cherkasy oblast': 1}",,5.0,5,kpszsu/posts/pfbid0qP5hLW7rWKXXdsrKhmaT5fkFQaXFQJEK4fT1vfXhFW8jcpPSiajKaFkwb7rs5zHol
2024-05-28,2024-05-28,ZALA,,Kherosn oblast,,,2.0,2,PvKPivden/posts/pfbid0dwJWegqfsvMY9Mo4zE5Hv3sWwEwv2u9ecpvYx1vYH3cajTggEctGrpwq19FQn7H4l
2024-05-28,2024-05-28,Supercam,,Kherosn oblast,,,1.0,1,PvKPivden/posts/pfbid0dwJWegqfsvMY9Mo4zE5Hv3sWwEwv2u9ecpvYx1vYH3cajTggEctGrpwq19FQn7H4l
2024-05-28,2024-05-28,Iskander-M,,Odesa oblast,,,1.0,0,PvKPivden/posts/pfbid0dwJWegqfsvMY9Mo4zE5Hv3sWwEwv2u9ecpvYx1vYH3cajTggEctGrpwq19FQn7H4l
2024-05-26,2024-05-26 08:00,X-47 Kinzhal,Tambov oblast,Ukraine,,MiG-31K,2.0,0,kpszsu/posts/pfbid0iQ28D6tTfeUn7WSUUAuJyUPtqqzQFkswSWLNZA2kjrPH7QRJvLDkbkbizW631fkgl
2024-05-26,2024-05-26 08:00,X-101/X-555,Saratov oblast,Ukraine,,Tu-95MS,12.0,12,kpszsu/posts/pfbid0iQ28D6tTfeUn7WSUUAuJyUPtqqzQFkswSWLNZA2kjrPH7QRJvLDkbkbizW631fkgl
2024-05-26,2024-05-26 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Yeysk",Ukraine,"{'Odesa oblast': 1, 'Mykolaiv oblast': 3, 'Dnipropetrovsk oblast': 12,     'Zaporizhzhia oblast': 3, 'Poltava oblast': 2, 'Kirovohrad oblast': NaN, 'Chernihiv oblast': NaN,     'Vinnytsia oblast': NaN, 'Khmelnytskyi oblast': NaN}",,31.0,31,kpszsu/posts/pfbid0iQ28D6tTfeUn7WSUUAuJyUPtqqzQFkswSWLNZA2kjrPH7QRJvLDkbkbizW631fkgl
2024-05-23,2024-05-23,Orlan-10,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid02WHFXXEzNVj6c469VYkb8WeECn17WvZ5Fp632s63Mbq6T3xEnxK8JKch5VVMvtV3Rl
2024-05-22 22:55,2024-05-22 22:55,X-59/X-69,,"Dnipropetrovsk oblast, Synelnykove Raion",,,1.0,1,pvkshid/posts/pfbid08fr5fyWwMHjpNuV8jVWytu5PeYEQyvmW3kuMVe5wrreKXdqsNFxumqHx3t3ensjWl
